key,code,conclusion,strong-points,weak-points,draft-mode,key:auditor,key:course
audit-01,ABC230,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-23
audit-02,A274,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-01
audit-03,ABC231,Este audit está bien implementado porque lo he implementado yo asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-01
audit-04,ABC232,este audit va con ñ,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-01
audit-05,ABC233,人,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,false,auditor-01,course-02
audit-06,ABC234,E,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-03
audit-07,ABC235,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado porque lo he implementado yo asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-03
audit-08,ABC236,Este audit está bien implementado asi que no debería de fallar por esos,Este audit va con ñ,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-03
audit-09,ABC237,Este audit está bien implementado asi que no debería de fallar por esos,人,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-04
audit-10,ABC238,Este audit está bien implementado asi que no debería de fallar por esos,E,Este audit está bien implementado asi que no debería de fallar por esos,true,auditor-01,course-23
audit-11,ABC239,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado porque lo he implementado yo asi que no debería de fallar por esos,true,auditor-01,course-23
audit-12,ABC240,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,Este audit va con ñ,true,auditor-01,course-23
audit-13,ABC241,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,我,false,auditor-01,course-15
audit-14,ABC242,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,E,false,auditor-01,course-16
audit-15,ABC243,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,Este audit está bien implementado asi que no debería de fallar por esos,false,auditor-01,course-11
